index,hgrnaNum,runtime,kc1,kc0,rf,row_num
2,100,118280.26490616798,2775.1717127409684,7271.239609961432,2568.8,2
3,100,159831.27764892578,3200.040491242942,9220.908053469062,2465.8,3
5,100,103551.49995851517,3071.408209854571,7933.843735752837,2528.2,5
6,100,108010.48935127258,2928.183005895711,6516.741044847336,2479.8,6
8,100,152428.78900146484,2640.9961081277047,8134.545445082774,2494.6,8
9,100,138240.8227815628,2852.778193441377,9106.048694951032,2527,9
10,100,129044.49768257141,3020.949678257083,9893.654256837635,2458.6,10
11,100,110433.50484490395,2855.9834959433188,10629.891965773253,2417.4,11
12,100,98425.47307491302,2676.965018515038,6820.181574034488,2474,12
14,100,150990.514149189,2420.7080612429786,7411.936846897969,2328.8,14
15,100,64363.12369799614,2666.712975457852,8308.76128031444,2297.4,15
16,100,130823.5328938961,3592.6865812991578,15209.267726937245,2452,16
17,100,136905.60595083237,2900.469889390039,8745.893686145386,2518.6,17
19,100,96493.33916378021,3259.433576603822,8234.123477336121,2471.6,129
21,100,148327.53246712685,3443.355062355836,8240.815747066608,2406,131
23,100,63521.88342142105,2979.7792551616403,7103.137176821281,2340.2,133
24,100,160883.38522911072,2284.862871873609,5130.980743281904,2403.6,134
25,100,105934.0736489296,3199.330254824538,8384.162016044422,2442.2,135
26,100,125812.4237215519,2874.7440896494354,6466.642475236415,2393.4,136
27,100,127043.29566121101,3357.865610763119,10024.251053427746,2474.4,137
28,100,83938.97941470146,3149.903220862099,7803.770651117538,2418.8,138
29,100,129310.87718462944,2661.2491055334744,6079.508749411648,2397.8,139
30,100,127946.6631052494,3638.1200106078622,8012.221585066577,2479.4,140
31,100,135721.4846754074,3560.118787975003,8036.54782208114,2398,141
32,100,122503.72877883911,3456.8020945589014,6756.7700794216325,2315.4,142
34,100,119406.95218706131,3656.1346374994264,10600.395526216587,2365.8,144
36,100,86224.72736692429,2691.5117621886984,5988.581447456535,2371.8,256
37,100,158550.80379009247,3069.433077818052,8020.973896269228,2480.4,257
38,100,93779.53544998169,3040.2416496813325,10209.63337319275,2525,258
40,100,145456.93834137917,2719.5583055123266,6608.082097279698,2489.8,260
41,100,117572.57501506805,3229.8693752908653,9391.89936901866,2560.4,261
42,100,57570.812770843506,2970.433980631146,10911.829823190006,2458.6,262
43,100,84518.41325187683,2784.464623802538,8430.760598278197,2365.4,263
44,100,95159.3371500969,2912.4713963885906,9346.542834396208,2358.4,264
45,100,93837.56387376785,2873.9191009582173,11328.797633615548,2493.8,265
48,100,50448.09669137001,2132.754455165345,5435.491847194633,2316.8,268
49,100,63421.337077617645,3409.7011638775043,10184.222160021274,2339.6,269
50,100,151579.81192040443,2742.899153733676,9181.886753468892,2491.4,270
